Timestamp,ID(Hex),ID(Dec),Data,Message Name,Decoded Signals
2025-06-07 18:30:28.714,B0,176,00 00 FE FF 00 00 05 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.715,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.716,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.717,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Error decoding message: 3
2025-06-07 18:30:28.718,B0,176,00 00 F9 FF 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.719,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.720,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.721,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.722,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Error decoding message: 3
2025-06-07 18:30:28.723,B0,176,00 00 02 00 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.724,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Error decoding message: 171
2025-06-07 18:30:28.725,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.726,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.727,B0,176,00 00 00 00 00 00 05 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.728,B0,176,00 00 FF FF 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.729,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
